,0,1,2
856,megapixel,render,imag
857,render,imag,that
858,imag,that,fall
859,that,fall,well
860,fall,well,below
861,well,below,expect
862,below,expect,of
863,expect,of,such
864,of,such,a
865,such,a,relat
866,a,relat,high
867,relat,high,resolut
868,i,purcash,this
869,purcash,this,for
870,this,for,the
871,for,the,car
872,charger,and,it
873,and,it,doe
874,sound,qualiti,on
875,qualiti,on,both
876,on,both,end
877,both,end,is
878,end,is,excel
879,is,excel,i
880,excel,i,use
881,i,use,headset
882,to,call,my
883,call,my,wife
884,my,wife,and
885,wife,and,ask
886,and,ask,my
887,ask,my,wife
888,my,wife,to
889,wife,to,use
890,headset,to,call
891,to,call,me
892,me,this,phone
893,phone,is,slim
894,is,slim,and
895,slim,and,light
896,and,light,and
897,and,the,display
898,the,display,is
899,display,is,beauti
900,it,a,littl
901,a,littl,geeki
902,littl,geeki,but
903,geeki,but,i
904,i,think,that
905,think,that,it
906,that,it,sex
907,it,sex,on
908,sex,on,toast
909,on,toast,and
910,toast,and,it
911,and,it,rock
912,rock,and,ooz
913,and,ooz,sex
914,ooz,sex,right
915,sex,right,down
916,right,down,to
917,down,to,it
918,to,it,batteri
919,it,batteri,embed
920,batteri,embed,sleek
921,embed,sleek,stylish
922,sleek,stylish,leather
923,stylish,leather,case
924,great,product,fast
925,product,fast,ship
926,keyboard,is,a
927,is,a,nice
928,a,nice,compromis
929,nice,compromis,between
930,compromis,between,a
931,between,a,full
932,a,full,qwerti
933,full,qwerti,and
934,qwerti,and,the
935,and,the,basic
936,the,basic,cell
937,basic,cell,phone
938,cell,phone,number
939,phone,number,keypad
940,this,phone,around
941,phone,around,the
942,around,the,end
943,the,end,of
944,end,of,may
945,of,may,and
946,may,and,i
947,i,m,complet
948,m,complet,unhappi
949,complet,unhappi,with
950,with,it,it
951,it,it,is
952,veri,comfort,on
953,comfort,on,the
954,the,ear,it
955,has,been,a
956,been,a,winner
957,a,winner,for
958,winner,for,us
959,setup,couldn,t
960,couldn,t,have
961,t,have,been
962,have,been,simpler
963,ve,tri,sever
964,tri,sever,differ
965,sever,differ,earpiec
966,differ,earpiec,for
967,earpiec,for,my
968,for,my,cell
969,cell,phone,and
970,phone,and,this
971,and,this,jabra
972,this,jabra,one
973,jabra,one,is
974,the,first,one
975,first,one,i
976,one,i,ve
977,i,ve,found
978,ve,found,that
979,found,that,fit
980,that,fit,my
981,my,ear,comfort
982,could,not,get
983,not,get,strong
984,get,strong,enough
985,strong,enough,signal
986,iam,veri,pleas
987,pleas,with,my
988,get,the,job
989,the,job,done
990,basic,the,servic
991,the,servic,was
992,servic,was,veri
993,was,veri,bad
994,not,work,in
995,work,in,my
996,in,my,cell
997,cell,phone,plug
998,phone,plug,i
999,plug,i,am
1000,am,veri,up
1001,veri,up,set
1002,up,set,with
1003,set,with,the
1004,with,the,charger
1005,the,charger,i
1006,i,ve,onli
1007,ve,onli,had
1008,onli,had,my
1009,had,my,bluetooth
1010,my,bluetooth,for
1011,bluetooth,for,a
1012,week,but,i
1013,but,i,realli
1014,realli,like,it
1015,like,it,the
1016,the,bt,headset
1017,bt,headset,was
1018,headset,was,such
1019,was,such,a
1020,such,a,disapoin
1021,is,so,small
1022,small,and,you
1023,t,even,realiz
1024,even,realiz,that
1025,realiz,that,it
1026,is,there,after
1027,there,after,a
1028,a,while,of
1029,while,of,get
1030,of,get,use
1031,use,to,it
1032,to,it,the
1033,the,accompani,softwar
1034,accompani,softwar,is
1035,softwar,is,almost
1036,is,almost,brilliant
1037,headset,work,great
1038,work,great,was
1039,great,was,packag
1040,was,packag,nice
1041,packag,nice,to
1042,nice,to,avoid
1043,to,avoid,ani
1044,avoid,ani,damag
1045,i,definit,recommend
1046,buyer,be,veri
1047,be,veri,care
1048,the,major,of
1049,of,the,logitech
1050,the,logitech,earbud
1051,logitech,earbud,headset
1052,earbud,headset,fail
1053,veri,good,stuff
1054,good,stuff,for
1055,stuff,for,the
1056,headset,work,just
1057,work,just,peachi
1058,just,peachi,keen
1059,in,my,hous
1060,my,hous,i
1061,hous,i,was
1062,i,was,get
1063,was,get,drop
1064,get,drop,coverag
1065,drop,coverag,upstair
1066,coverag,upstair,and
1067,upstair,and,no
1068,and,no,coverag
1069,no,coverag,in
1070,coverag,in,my
1071,in,my,basement
1072,voic,recognit,is
1073,recognit,is,tremend
1074,dure,sever,differ
1075,sever,differ,minut
1076,differ,minut,call
1077,minut,call,i
1078,call,i,experienc
1079,i,experienc,drop
1080,experienc,drop,and
1081,drop,and,it
1082,it,was,in
1083,was,in,an
1084,in,an,area
1085,an,area,that
1086,area,that,had
1087,that,had,bar
1088,had,bar,i
1089,bar,i,was
1090,i,was,not
1091,not,happi,with
1092,this,item,veri
1093,veri,disappoint,the
1094,the,phone,take
1095,phone,take,forev
1096,forev,to,charg
1097,to,charg,like
1098,like,to,hour
1099,to,hour,liter
1100,hour,liter,i
1101,i,got,this
1102,got,this,phone
1103,this,phone,on
1104,phone,on,reccomend
1105,on,reccomend,from
1106,reccomend,from,a
1107,from,a,relat
1108,a,relat,and
1109,relat,and,i
1110,glad,i,did
1111,of,time,it
1112,recept,is,veri
1113,is,veri,veri
1114,veri,veri,poor
1115,item,state,as
1116,state,as,includ
1117,as,includ,from
1118,includ,from,the
1119,from,the,descript
1120,the,descript,are
1121,descript,are,not
1122,are,not,includ
1123,after,month,screen
1124,month,screen,just
1125,screen,just,went
1126,just,went,black
1127,went,black,all
1128,black,all,of
1129,all,of,a
1130,of,a,sudden
1131,a,sudden,i
1132,i,was,hope
1133,was,hope,for
1134,hope,for,more
1135,i,had,absolut
1136,had,absolut,no
1137,absolut,no,problem
1138,no,problem,with
1139,this,headset,link
1140,headset,link,to
1141,to,my,blackberri
1142,my,blackberri,curv
1143,blackberri,curv,i
1144,know,that,sound
1145,that,sound,funni
1146,sound,funni,but
1147,funni,but,to
1148,but,to,me
1149,to,me,it
1150,me,it,seem
1151,it,seem,like
1152,seem,like,sketchi
1153,like,sketchi,technolog
1154,sketchi,technolog,that
1155,technolog,that,wouldn
1156,that,wouldn,t
1157,wouldn,t,work
1158,t,work,well
1159,work,well,well
1160,well,well,this
1161,one,work,great
1162,great,i,ve
1163,i,ve,bought
1164,ve,bought,wire
1165,bought,wire,headphon
1166,wire,headphon,that
1167,headphon,that,sound
1168,that,sound,better
1169,sound,better,than
1170,better,than,these
1171,veri,fast,with
1172,fast,with,send
1173,with,send,ani
1174,send,ani,kind
1175,kind,of,messag
1176,of,messag,and
1177,messag,and,web
1178,and,web,brows
1179,web,brows,is
1180,brows,is,signific
1181,is,signific,faster
1182,signific,faster,than
1183,faster,than,previous
1184,than,previous,phone
1185,previous,phone,i
1186,nice,qualiti,build
1187,qualiti,build,unlik
1188,build,unlik,some
1189,unlik,some,cheap
1190,some,cheap,s
1191,cheap,s,out
1192,s,out,there
1193,item,is,fantast
1194,is,fantast,and
1195,fantast,and,work
1196,and,work,perfect
1197,perfect,and,i
1198,and,i,just
1199,i,just,love
1200,just,love,the
1201,love,the,color
1202,is,just,superb
1203,i,can,do
1204,can,do,is
1205,do,is,whine
1206,is,whine,on
1207,whine,on,the
1208,the,internet,so
1209,internet,so,here
1210,so,here,it
1211,here,it,goe
1212,it,goe,the
1213,goe,the,more
1214,the,more,i
1215,more,i,use
1216,i,use,the
1217,use,the,thing
1218,the,thing,the
1219,the,less,i
1220,less,i,like
1221,like,it,great
1222,it,great,charger
1223,charger,this,is
1224,this,is,essenti
1225,is,essenti,a
1226,essenti,a,communic
1227,a,communic,tool
1228,communic,tool,that
1229,tool,that,doe
1230,that,doe,not
1231,doe,not,communic
1232,a,charm,it
1233,charm,it,work
1234,it,work,the
1235,work,the,same
1236,the,same,as
1237,as,the,one
1238,the,one,i
1239,one,i,got
1240,i,got,with
1241,got,with,the
1242,phone,i,still
1243,i,still,maintain
1244,still,maintain,that
1245,maintain,that,monkey
1246,that,monkey,shouldn
1247,monkey,shouldn,t
1248,shouldn,t,make
1249,t,make,headphon
1250,make,headphon,we
1251,headphon,we,just
1252,we,just,obvious
1253,just,obvious,don
1254,obvious,don,t
1255,don,t,share
1256,t,share,enough
1257,share,enough,dna
1258,enough,dna,to
1259,dna,to,copi
1260,to,copi,the
1261,copi,the,design
1262,the,design,over
1263,design,over,to
1264,over,to,human
1265,t,work,at
1266,work,at,all
1267,at,all,i
1268,all,i,bougth
1269,i,bougth,it
1270,bougth,it,for
1271,it,for,my
1272,for,my,and
1273,my,and,it
1274,and,it,not
1275,it,not,work
1276,not,work,the
1277,the,look,of
1278,look,of,it
1279,veri,sharp,and
1280,sharp,and,the
1281,and,the,screen
1282,the,screen,is
1283,screen,is,nice
1284,nice,and,clear
1285,and,clear,with
1286,clear,with,great
1287,with,great,graphic
1288,doesn,t,last
1289,t,last,long
1290,one,thing,i
1291,thing,i,hate
1292,i,hate,is
1293,hate,is,the
1294,is,the,mode
1295,the,mode,set
1296,mode,set,button
1297,set,button,at
1298,button,at,the
1299,at,the,side
1300,servic,thank,you
1301,you,for,wast
1302,for,wast,my
1303,wast,my,money
1304,how,can,that
1305,can,that,be
1306,that,be,the
1307,be,the,audio
1308,the,audio,qualiti
1309,audio,qualiti,is
1310,qualiti,is,poor
1311,is,poor,the
1312,the,igo,charger
1313,igo,charger,and
1314,charger,and,tip
1315,and,tip,are
1316,tip,are,realli
1317,are,realli,great
1318,realli,great,the
1319,great,the,file
1320,the,file,browser
1321,file,browser,offer
1322,browser,offer,all
1323,offer,all,the
1324,all,the,option
1325,the,option,that
1326,option,that,one
1327,that,one,need
1328,one,need,handsfre
1329,need,handsfre,is
1330,handsfre,is,great
1331,great,superb,phone
1332,superb,phone,on
1333,phone,on,a
1334,on,a,great
1335,a,great,network
1336,i,connect,my
1337,connect,my,wife
1338,wife,s,bluetooth
1339,s,bluetooth,motorola
1340,bluetooth,motorola,to
1341,motorola,to,my
1342,my,phone,and
1343,it,work,like
1344,a,charm,whether
1345,charm,whether,the
1346,whether,the,phone
1347,phone,was,in
1348,was,in,my
1349,my,pocket,or
1350,pocket,or,the
1351,or,the,case
1352,the,case,i
1353,case,i,put
1354,i,put,the
1355,put,the,latest
1356,the,latest,os
1357,latest,os,on
1358,os,on,it
1359,it,and,it
1360,it,now,like
1361,now,like,to
1362,like,to,slow
1363,to,slow,to
1364,to,a,crawl
1365,a,crawl,and
1366,crawl,and,lock
1367,and,lock,up
1368,lock,up,everi
1369,up,everi,onc
1370,everi,onc,in
1371,onc,in,a
1372,in,a,while
1373,a,while,it
1374,it,onli,recogn
1375,onli,recogn,the
1376,recogn,the,phone
1377,the,phone,as
1378,phone,as,it
1379,as,it,storag
1380,it,storag,devic
1381,for,you,don
1382,had,this,bluetoooth
1383,this,bluetoooth,headset
1384,bluetoooth,headset,for
1385,headset,for,some
1386,for,some,time
1387,some,time,now
1388,now,and,still
1389,still,not,comfort
1390,not,comfort,with
1391,comfort,with,the
1392,with,the,way
1393,the,way,it
1394,way,it,fit
1395,it,fit,on
1396,fit,on,the
1397,the,ear,the
1398,qualiti,is,good
1399,is,good,and
1400,good,and,function
1401,function,is,awesom
1402,i,have,this
1403,have,this,phone
1404,is,a,thorn
1405,a,thorn,in
1406,thorn,in,my
1407,in,my,side
1408,my,side,i
1409,side,i,realli
1410,i,realli,abhor
1411,realli,abhor,it
1412,abhor,it,i
1413,i,recent,had
1414,recent,had,problem
1415,had,problem,where
1416,problem,where,i
1417,where,i,could
1418,could,not,stay
1419,not,stay,connect
1420,stay,connect,for
1421,connect,for,more
1422,for,more,than
1423,more,than,minut
1424,than,minut,befor
1425,minut,befor,be
1426,befor,be,disconnect
1427,wast,of,buck
1428,but,when,i
1429,when,i,check
1430,i,check,voic
1431,check,voic,mail
1432,voic,mail,at
1433,mail,at,night
1434,at,night,the
1435,night,the,keypad
1436,the,keypad,backlight
1437,keypad,backlight,turn
1438,backlight,turn,off
1439,turn,off,a
1440,off,a,few
